service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
17000062831-20160922135358_v46.7,20161030,20161231,0,1,1,1,1,0,0
14731045660-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
3100033967-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14274053060-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
4974028658-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14233045336-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
1983053871-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
23100028022-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
14721047204-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
14392045182-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14595039945-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
13221043643-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
13087037165-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
50051036253-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
12881052832-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
12843041244-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14767040742-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
15428038649-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
3922053245-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
4975007258-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
3060042122-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
14797029010-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14771048196-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
13221043588-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
6008032490-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
15334038323-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
4915006285-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
1064060051-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
23100028056-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
7009027601-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,1,1
12881052842-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
3886005678-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
5550011230-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
2394062625-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
1981053464-20160920093629_v46.5,20160922,20161029,0,1,1,1,0,0,0
14798048747-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
3813046712-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
13115037366-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
